pincode,City,State
504309,Adilabad,Telangana
504312,Adilabad,Telangana
413738,Ahmed Nagar,Maharashtra
414110,Ahmed Nagar,Maharashtra
422602,Ahmed Nagar,Maharashtra
422622,Ahmed Nagar,Maharashtra
444108,Akola,Maharashtra
444111,Akola,Maharashtra
444117,Akola,Maharashtra
202125,Aligarh,Uttar Pradesh
202146,Aligarh,Uttar Pradesh
202170,Aligarh,Uttar Pradesh
263601,Almora,Uttarakhand
263624,Almora,Uttarakhand
263645,Almora,Uttarakhand
263646,Almora,Uttarakhand
263651,Almora,Uttarakhand
263656,Almora,Uttarakhand
263661,Almora,Uttarakhand
263663,Almora,Uttarakhand
263665,Almora,Uttarakhand
301023,Alwar,Rajasthan
133008,Ambala,Haryana
133010,Ambala,Haryana
133202,Ambala,Haryana
134204,Ambala,Haryana
444807,Amravati,Maharashtra
444810,Amravati,Maharashtra
143504,Amritsar,Punjab
484447,Anuppur,Madhya Pradesh
431807,Aurangabad Mh,Maharashtra
250619,Bagpat,Uttar Pradesh
250621,Bagpat,Uttar Pradesh
481001,Balaghat,Madhya Pradesh
481115,Balaghat,Madhya Pradesh
481226,Balaghat,Madhya Pradesh
221712,Ballia,Uttar Pradesh
221713,Ballia,Uttar Pradesh
221717,Ballia,Uttar Pradesh
277201,Ballia,Uttar Pradesh
277213,Ballia,Uttar Pradesh
277301,Ballia,Uttar Pradesh
277503,Ballia,Uttar Pradesh
493195,Balod Bazer,Chhattisgarh
493331,Balod Bazer,Chhattisgarh
225122,Barabanki,Uttar Pradesh
225124,Barabanki,Uttar Pradesh
225125,Barabanki,Uttar Pradesh
225126,Barabanki,Uttar Pradesh
225412,Barabanki,Uttar Pradesh
243002,Bareilly,Uttar Pradesh
243123,Bareilly,Uttar Pradesh
243502,Bareilly,Uttar Pradesh
243503,Bareilly,Uttar Pradesh
243504,Bareilly,Uttar Pradesh
344011,Barmer,Rajasthan
344032,Barmer,Rajasthan
344035,Barmer,Rajasthan
344037,Barmer,Rajasthan
344702,Barmer,Rajasthan
590009,Belagavi,Karnataka
590018,Belagavi,Karnataka
590019,Belagavi,Karnataka
