pincode,state_name,city,State CODE
101213,HARYANA,FARIDABAD CITY,HR
110000,DELHI,DELHI EAST,DL
110001,DELHI,NEW DELHI CENTRAL,DL
110002,DELHI,NEW DELHI CENTRAL,DL
110003,DELHI,NEW DELHI CENTRAL,DL
110004,DELHI,NEW DELHI CENTRAL,DL
110005,DELHI,NEW DELHI CENTRAL,DL
110006,DELHI,DELHI GPO,DL
110007,DELHI,DELHI NORTH,DL
110008,DELHI,NEW DELHI CENTRAL,DL
110009,DELHI,DELHI NORTH,DL
110010,DELHI,NEW DELHI SOUTH WEST,DL
110011,DELHI,NEW DELHI CENTRAL,DL
110012,DELHI,NEW DELHI CENTRAL,DL
110013,DELHI,NEW DELHI SOUTH,DL
110014,DELHI,NEW DELHI SOUTH,DL
110015,DELHI,NEW DELHI WEST,DL
110016,DELHI,NEW DELHI SOUTH WEST,DL
110017,DELHI,NEW DELHI SOUTH,DL
110018,DELHI,NEW DELHI WEST,DL
110019,DELHI,NEW DELHI SOUTH,DL
110020,DELHI,NEW DELHI SOUTH,DL
110021,DELHI,NEW DELHI SOUTH WEST,DL
110022,DELHI,NEW DELHI SOUTH WEST,DL
110023,DELHI,NEW DELHI SOUTH WEST,DL
110024,DELHI,NEW DELHI SOUTH,DL
110025,DELHI,NEW DELHI SOUTH,DL
110026,DELHI,NEW DELHI WEST,DL
110027,DELHI,NEW DELHI WEST,DL
110028,DELHI,NEW DELHI WEST,DL
110029,DELHI,NEW DELHI SOUTH WEST,DL
110030,DELHI,NEW DELHI SOUTH WEST,DL
110031,DELHI,DELHI EAST,DL
110032,DELHI,DELHI EAST,DL
110033,DELHI,DELHI NORTH,DL
110034,DELHI,DELHI NORTH,DL
110035,DELHI,DELHI NORTH,DL
110036,DELHI,DELHI NORTH,DL
110037,DELHI,NEW DELHI SOUTH WEST,DL
110038,DELHI,NEW DELHI SOUTH WEST,DL
110039,DELHI,DELHI NORTH,DL
110040,DELHI,DELHI NORTH,DL
110041,DELHI,NEW DELHI WEST,DL
110042,DELHI,DELHI NORTH,DL
110043,DELHI,NEW DELHI WEST,DL
110044,DELHI,NEW DELHI SOUTH,DL
110045,DELHI,NEW DELHI WEST,DL
110046,DELHI,NEW DELHI WEST,DL
110047,DELHI,NEW DELHI SOUTH WEST,DL
110048,DELHI,NEW DELHI SOUTH,DL
110049,DELHI,NEW DELHI SOUTH,DL
110050,DELHI,DELHI EAST,DL
110051,DELHI,DELHI EAST,DL
110052,DELHI,DELHI NORTH,DL
110053,DELHI,DELHI EAST,DL
110054,DELHI,DELHI NORTH,DL
110055,DELHI,NEW DELHI CENTRAL,DL
110056,DELHI,DELHI NORTH,DL
110057,DELHI,NEW DELHI SOUTH WEST,DL
110058,DELHI,NEW DELHI WEST,DL
110059,DELHI,NEW DELHI WEST,DL
110060,DELHI,NEW DELHI CENTRAL,DL
110061,DELHI,NEW DELHI SOUTH WEST,DL
110062,DELHI,NEW DELHI SOUTH,DL
110063,DELHI,NEW DELHI WEST,DL
110064,DELHI,NEW DELHI WEST,DL
110065,DELHI,NEW DELHI SOUTH,DL
110066,DELHI,NEW DELHI SOUTH WEST,DL
110067,DELHI,NEW DELHI SOUTH WEST,DL
110068,DELHI,NEW DELHI SOUTH WEST,DL
110069,DELHI,NEW DELHI CENTRAL,DL
110070,DELHI,NEW DELHI SOUTH WEST,DL
110071,DELHI,NEW DELHI WEST,DL
110072,DELHI,NEW DELHI WEST,DL
110073,DELHI,NEW DELHI WEST,DL
110074,DELHI,NEW DELHI SOUTH WEST,DL
110075,DELHI,NEW DELHI WEST,DL
110076,DELHI,NEW DELHI SOUTH,DL
110077,DELHI,NEW DELHI WEST,DL
110078,DELHI,NEW DELHI WEST,DL
110079,DELHI,DELHI EAST,DL
110080,DELHI,NEW DELHI SOUTH,DL
110081,DELHI,DELHI NORTH,DL
110082,DELHI,DELHI NORTH,DL
110083,DELHI,DELHI NORTH,DL
